company_name,stand_no,description,profile_url,website
.lumen,"Stand No- H14-C10, Hall 14",".lumen builds Pedestrian Autonomous Driving AI, first showcased in the Glasses for the Blind.

Instead of pulling your hand like a guide dog, our patented haptic system gently guides your head, helping you move safely and confiden ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/lumen,https://www.dotlumen.com/
2bedigital,"Stand No- H25-E45, Hall 25","2bedigital is a leading digital agency specialized in Artificial Intelligence, Performance Marketing, and Immersive Technologies for retail and e-commerce. We design and implement advanced digital strategies that connect creativit ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/2bedigital,https://2bedigital.com/
2D Soft,"Stand No- H1-A10, Hall 1","2D Soft was founded in 2002. 2D Soft main activities are design, development, sales, implementation, and maintenance of software solutions specialized for the hospitality industry, hotel management, and retail. 2D Soft vision is t ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/2d-soft,https://www.2dsoft.com/
3N Systèmes,"Stand No- H4-B50, Hall 4",,https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/3n-systmes,https://www.3nsystemes.com
3Pillars Companies,"Stand No- H24-A40, Hall 24","Transforming Futures, One Pillat at a Time
3Pillars Companies is a dynamic group dedicated to leading digital transformations for large entities. With a diversed portfolio, the group encompassed three specialized companies - 3Pill ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/3pillars-companies,https://www.3pillars-sa.com
42Gears,"Stand No- H5-B20, Hall 5","42Gears is a leader in enterprise mobility management, offering cutting-edge solutions that aim to transform the digital workplace. Delivered from the cloud and on-premise, 42Gears products support all major mobile and desktop ope ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/42gears,https://www.42gears.com
4GNSS LLC,"Stand No- H4A-B10, Hall 4A","Orient Systems is a leading Russian developer of high-precision GNSS equipment (4GNSS brand) delivering centimeter accuracy for industrial use. Since 2014, we have created proprietary algorithms (RTK, PPP, Orient+) and multi-const ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/4gnss-llc,https://4gnss.com/
5sensAR,"Stand No- H23-D20, Hall 23","5sensAR (LLC “ENDITECH”) is a leading developer of augmented and virtual reality solutions. Since 2006, the company has delivered over 200 projects across key sectors including tourism, education, oil & gas, and healthcare. It ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/5sensar,https://fivesensar.com
7Generation LLC,"Stand No- H14-D30, Hall 14","7Generation is a leading IT company specializing in the development of innovative solutions based on telecommunication traffic analysis. For more than eleven years, the company has been creating technologies that enable telecom op ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/7generation-llc,https://7generation.net
7X,"Stand No- H18-B10, Hall 18","7X, (Emirates Post Group PJSC) is a Public Joint Stock Company under the Emirates Investment Authority. 

7X operates as a trade, transport, and logistics holding group, headquartered in Dubai, overseeing and managing its diverse  ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/7x,https://www.7x.ae/
A2CO Advisory Ltd,"Stand No- H1-B10, Hall 1","Founded in 2020, A2CO was created to deliver faster and more practical corporate services to high-performing businesses. Based in Malta and active across multiple jurisdictions, we provide the structure and support your business n ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/a2co-advisory-ltd,https://www.a2co.com
A4LAB,"Stand No- H26-A23, Hall 26","A4Lab is a Korean medical device company specializing in surgical navigation systems. Our flagship product, XAVE, is the first facial surgery navigation platform developed in Korea, delivering world-class precision with ?1mm accur ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/a4lab,https://www.a4lab.co.kr
AAI Labs,"Stand No- H13-D55, Hall 13","AAI Labs is a leading AI solutions company. Our team of over 40 AI specialists excels in machine learning, data science, and AI product development, delivering cutting-edge solutions across finance, healthcare, logistics, and publ ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/aai-labs,https://www.aai-labs.com/
Aark Technology FZCO,"Stand No- GSM-A53, Hall 11","Founded in 2022, Aark Technology FZCO is a leading wholesaler and trader of consumer electronics, headquartered in Dubai, UAE, with warehouses located in DAFZA, JAFZA, India, and Hong Kong. We provide a comprehensive selection of  ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/aark-technology-fzco,https://aarkgroup.co/
Aaryan Telecom FZCO,"Stand No- GSM-B72, Hall 11","Aaryan Telecom FZCO is a globally trusted wholesaler and supplier specializing in mobile phones and accessories. With a commitment to quality and customer satisfaction, Aaryan Telecom sources and supplies a wide range of the lates ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/aaryan-telecom-fzco,https://aaryan-intl.com/
AAYAN TRADING FZE,"Stand No- GSM-D105, Hall 11","Aayan Trading FZE is a UAE-based company engaged in the buying and selling of consumer electronic products. Our core business focuses on the wholesale distribution and international trade of mobile phones, laptops, tablets, and ac ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/aayan-trading-fze,https://www.aayantradingfze.com
AAYAT TELECOM FZCO,"Stand No- GSM-O35, Hall 11","Established in 2024 and located in Dubai Airport Freezone (DAFZA), AAYAT TELECOM FZCO is a trusted wholesale mobile trading company. We specialize in supplying brand-new smartphones from world-leading brands including Samsung, App ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/aayat-telecom-fzco,https://www.aayattelecomfzco.com
AB Ark Private Limited,"Stand No- CC1-60, Concourse 1","AB Ark is an emerging, forward-thinking IT company specializing in Al-driven software services. Since our inception in 2023, we have been committed to helping businesses stay ahead by leveraging the latest technological advancemen ...",https://exhibitors.gitex.com/gitex-global-2025/Exhibitor/ExbDetails/ab-ark-private-limited,https://www.abark.tech/
